well,depth,salinity,salinity_unc_1sigma
AST-02,320,0.00015,1E-06
AST-02,363,0.0004,1E-06
AST-02,630,0.0013,1E-06
AST-02,711,0.0007,1E-06
AST-02,795,0.0006,1E-06
AST-02,800,0.0009,1E-06
AST-02,805,0.0007,1E-06
AST-02,810,0.0005,1E-06
AST-02,817,0.0007,1E-06
AST-02,824,0.0008,1E-06
AST-02,880,0.0006,1E-06
AST-02,904,0.0061,1E-06
AST-02,905,0.005,1E-06
AST-02,980,0.0008,1E-06
AST-02,997,0.0014,1E-06
AST-02,1023,0.004,1E-06
AST-02,1152,0.0085,1E-06
AST-02,1140,0.0025,1E-06
AST-02,1231,0.018,1E-06
AST-02,1540,0.0422,1E-06
AST-02,1545,0.0338,1E-06
AST-02,1425,0.014285,1E-06
AST-02,1429,0.0054,1E-06
AST-02,1430,0.01365,1E-06
AST-02,1435,0.009485,1E-06
AST-02,1440,0.011305,1E-06
AST-02,1445,0.01103,1E-06
AST-02,1450,0.0295,1E-06
AST-02,1465,0.005,1E-06
AST-02,1470,0.0043,1E-06
AST-02,1470,0.0144,1E-06
AST-02,1475,0.00842,1E-06
AST-02,1480,0.005645,1E-06
AST-02,1482,0.01222,1E-06
AST-02,1484,0.0183,1E-06
AST-02,1492,0.0217,1E-06
AST-02,1510,0.021,1E-06
AST-02,1514,0.0255,1E-06
AST-02,1521,0.0246,1E-06
AST-02,1522,0.0347,1E-06
AST-02,1532,0.0265,1E-06
AST-02,1646,0.0276,1E-06
